"","metabolite","beta","se","p_val","metabolite_model"
"72","palmitoyl2stearoylGPC160180",0.111926509221341,0.313,0.720514758526149,"Continuous"
"73","palmitoylglycerol160",0.166829945046648,0.314,0.5948529986555,"Continuous"
"74","palmitoylGPA160",0.272793162459543,0.272,0.316654871670481,"Continuous"
"75","palmitoylGPC1601",-0.0113780395968244,0.302,0.96992946230445,"Continuous"
"76","palmitoylGPE160",-0.100699222419693,0.33,0.760242673727321,"Continuous"
"77","palmitoylGPG160",-0.264883874937455,0.304,0.38377846316396,"Continuous"
"78","palmitoylGPI160",0.294985442299954,0.349,0.397701205008317,"Continuous"
"79","pentadecanoylglycerol150",0.587981586644302,0.3,0.0496711333187581,"Continuous"
"80","stearoyl2arachidonoylGPC180204",0.26884216045902,0.259,0.300064432114438,"Continuous"
"81","stearoyl2arachidonoylGPE180204",-0.0804138125710085,0.284,0.776935359933848,"Continuous"
"82","stearoyl2arachidonoylGPI180204",-0.0043424665448705,0.249,0.986081588323743,"Continuous"
"83","stearoyl2linoleoylGPC180182",-0.0125963346228754,0.265,0.96211874519879,"Continuous"
"84","stearoyl2linoleoylGPE180182",-0.203607775967864,0.323,0.528246827728394,"Continuous"
"85","stearoyl2linoleoylGPI180182",-0.161616081546817,0.27,0.549487258061834,"Continuous"
"86","stearoyl2oleoylGPC180181",0.103106773894647,0.277,0.709814296946293,"Continuous"
"87","stearoyl2oleoylGPE180181",0.078437381616085,0.276,0.776409275183965,"Continuous"
"88","stearoyl2oleoylGPI180181",-0.0438372304292418,0.307,0.886347953359961,"Continuous"
"89","stearoyl2oleoylGPS180181",0.169239314067609,0.331,0.609458663435988,"Continuous"
"90","stearoylGPC180",0.268989558506452,0.285,0.344934597451668,"Continuous"
"91","stearoylGPE1801",0.0119418602074076,0.332,0.97130154851932,"Continuous"
"92","stearoylGPI180",0.23767817596644,0.274,0.386362141309385,"Continuous"
"93","dihydroxy2methylbutyrate",0.447416179370679,0.31,0.148563802330717,"Continuous"
"94","dihydroxyisovalerate",0.0422706695643749,0.314,0.892912596539896,"Continuous"
"95","hydroxypregnenolonedisulfate",0.0289203664599058,0.305,0.924346954856173,"Continuous"
"96","aminoadipate",0.419641962806352,0.278,0.131200054692238,"Continuous"
"97","aminobutyrate",-0.363205870195223,0.313,0.245674917727499,"Continuous"
"98","aminoheptanoate",-0.181418138356918,0.266,0.494712013505879,"Continuous"
"99","aminooctanoate",-0.416190604184173,0.335,0.213746769519839,"Continuous"
"100","aminophenolsulfate",0.443155864837819,0.265,0.0943037388603405,"Continuous"
"101","deoxyuridine",-0.238950301540582,0.26,0.358455788019919,"Continuous"
"102","hydroxy3methylvalerate",0.12459503286357,0.248,0.615689368655227,"Continuous"
"103","hydroxybutyrate2hydroxyisobutyrate",-0.292508962634775,0.288,0.309369257806527,"Continuous"
"104","hydroxydecanoate2",-0.044375873573503,0.309,0.885743855718741,"Continuous"
"105","hydroxyglutarate",0.149777574937335,0.274,0.584313360000174,"Continuous"
"106","hydroxyhippuratesalicylurate",0.265366492644617,0.282,0.346502773827782,"Continuous"
"107","hydroxyoctanoate2",0.13041752771334,0.318,0.682065851788582,"Continuous"
"108","hydroxypalmitate2",0.133673290870094,0.281,0.634252704435909,"Continuous"
"109","hydroxyphenylacetate2",-0.177441388551538,0.309,0.56631183094879,"Continuous"
"110","hydroxystearate",0.408253645412727,0.343,0.233800280255453,"Continuous"
"111","keto3deoxygluconate",-0.248098031556138,0.319,0.437433082938474,"Continuous"
"112","linoleoylglycerol1822",0.322128506650847,0.27,0.233180683818015,"Continuous"
"113","methylbutyrylcarnitineC5",-0.00796526094301201,0.285,0.977674276972019,"Continuous"
"114","methylcitratehomocitrate",0.518753990422751,0.304,0.087973484328155,"Continuous"
"115","Omethylcytidine",0.0776611226578501,0.329,0.813140044382965,"Continuous"
"116","Omethyluridine",-0.0624946995674963,0.307,0.838836374866161,"Continuous"
"117","oxindole3acetate",0.153083040294955,0.281,0.586433689803826,"Continuous"
"118","oxoarginine",0.0587035673840695,0.251,0.814799318096739,"Continuous"
"119","palmitoylGPC1602",0.486906105780803,0.285,0.0874134359823036,"Continuous"
"120","piperidinone",-0.0444134496566317,0.308,0.885477302267721,"Continuous"
"121","pyrrolidinone",-0.163809051310085,0.29,0.571833404538119,"Continuous"
"122","stearoylGPE1802",0.129080912649413,0.24,0.591309284735127,"Continuous"
"123","hydroxyphenyllactate",0.861915495284145,0.329,0.00881359559267681,"Continuous"
"124","aminoisobutyrate",0.534498936224519,0.204,0.00890930616218518,"Continuous"
"125","betahydroxy5cholestenoate",0.290389602441651,0.284,0.305739959044834,"Continuous"
"126","bhydroxy5cholenoicacid",0.218960768646053,0.342,0.522384519301546,"Continuous"
"127","carboxy4methyl5propyl2furanpropanoateCMPF",0.414405643259275,0.318,0.192971855930095,"Continuous"
"128","hydroxy2ethylpropionate",0.182897900110152,0.263,0.48647575829941,"Continuous"
"129","hydroxy3methylglutarate",0.220503591257394,0.31,0.476651834811794,"Continuous"
"130","hydroxybutyrateBHBA",-0.477697881986761,0.289,0.0982134961481328,"Continuous"
"131","hydroxybutyrylcarnitine1",-0.792259190688552,0.307,0.00978402856459652,"Continuous"
"132","hydroxybutyrylcarnitine2",-0.425378508127727,0.327,0.193348179518193,"Continuous"
"133","hydroxydecanoate3",-0.0177888807549584,0.272,0.947905400856715,"Continuous"
"134","hydroxyhexanoate3",-0.0203114553880315,0.271,0.940300049980904,"Continuous"
"135","hydroxyhippurate3",-0.191662446085418,0.293,0.512737063155209,"Continuous"
"136","hydroxyisobutyrate",0.308307124812808,0.297,0.298518409549914,"Continuous"
"137","hydroxylaurate",-0.211249773710741,0.298,0.478292599625742,"Continuous"
"138","hydroxyoctanoate3",-0.0512018399360677,0.298,0.86353432724769,"Continuous"
"139","hydroxypyridinesulfate",0.0226192199971256,0.26,0.930767587372192,"Continuous"
"140","hydroxysebacate",-0.0347859568882182,0.281,0.901359172537541,"Continuous"
"141","indoxylsulfate",-0.031693959557783,0.234,0.892290693910647,"Continuous"
"142","methoxycatecholsulfate1",0.354327542520767,0.264,0.179103280142396,"Continuous"
"143","methoxytyraminesulfate",-0.0889180927676073,0.324,0.783968885368543,"Continuous"
"144","methoxytyrosine",0.0740986643946214,0.296,0.802587404580795,"Continuous"
"145","methylcatecholsulfate1",0.118563176879056,0.254,0.640865939558863,"Continuous"
"146","methyl2oxobutyrate",-0.0766132258562766,0.29,0.791548883898368,"Continuous"
"147","methyl2oxovalerate",-0.434668457604382,0.277,0.116392719549229,"Continuous"
"148","methylglutaconate",0.265201302910411,0.265,0.317188400138906,"Continuous"
"149","methylglutarylcarnitine2",0.306998617742418,0.3,0.306045672429156,"Continuous"
"150","methylhistidine3",0.330509532526227,0.227,0.145347427653696,"Continuous"
"151","methylxanthine3",0.175321126726178,0.27,0.516029832033134,"Continuous"
"152","phenylpropionatehydrocinnamate",0.0326085159505926,0.278,0.90672189584032,"Continuous"
"153","ureidopropionate",-0.172274570567017,0.291,0.554045676462052,"Continuous"
"154","acetamidobutanoate",0.0739220693390733,0.314,0.813990978196578,"Continuous"
"155","allylphenolsulfate",0.529435015349481,0.244,0.0299859257154942,"Continuous"
"156","ethylphenylsulfate4",0.586069750547294,0.29,0.0434622936595309,"Continuous"
"157","guanidinobutanoate",0.0454209836601131,0.306,0.882119003226805,"Continuous"
"158","hydroxybenzoate",0.282976737443533,0.305,0.353043627891464,"Continuous"
"159","hydroxychlorothalonil",0.335923968177358,0.307,0.273321608514564,"Continuous"
"160","hydroxyhippurate4",0.0686050619716654,0.381,0.85718528598352,"Continuous"
"161","hydroxyphenylpyruvate",0.0314267758478802,0.245,0.8979378299996,"Continuous"
"162","methyl2oxopentanoate",-0.264713248009832,0.301,0.378558024453726,"Continuous"
"163","methylcatecholsulfate",0.0372751231724621,0.248,0.880289540536799,"Continuous"
"164","vinylphenolsulfate",0.168573039067789,0.323,0.602025127148178,"Continuous"
"165","galactosylhydroxyLlysine",0.230749865555693,0.297,0.436655414415432,"Continuous"
"166","dihydrothymine",0.0976674594080538,0.358,0.784726078108627,"Continuous"
"167","acetylamino6amino3methyluracil",-0.0069768891910537,0.261,0.978638923964285,"Continuous"
"168","acetylamino6formylamino3methyluracil",0.309482049289133,0.282,0.273188983149279,"Continuous"
"169","alphaandrostan3alpha17betadiolmonosulfate1",-0.0267223740284263,0.37,0.942460763779643,"Continuous"
"170","alphaandrostan3beta17alphadioldisulfate",-0.0443932891288447,0.293,0.87973927122475,"Continuous"
"171","alphaandrostan3beta17betadioldisulfate",-0.177511610290549,0.37,0.631674803308039,"Continuous"
"172","alphaandrostan3beta17betadiolmonosulfate2",-0.195157339372945,0.321,0.543247826502059,"Continuous"
"173","alphapregnan3beta20alphadioldisulfate",-0.229561717310985,0.279,0.409819753454712,"Continuous"
"174","alphapregnan3beta20alphadiolmonosulfate2",-0.023736069207511,0.347,0.945465146581146,"Continuous"
"175","alphapregnan3beta20betadiolmonosulfate1",0.0151962718784812,0.314,0.961385967447828,"Continuous"
"176","bromotryptophan",-0.00284840912347326,0.337,0.99326292971728,"Continuous"
"177","dodecenoate121n7",-0.212239159184497,0.24,0.377468519323829,"Continuous"
"178","hydroxylysine",-0.252698194052326,0.269,0.348030394897642,"Continuous"
"179","methylthioadenosineMTA",0.558000781591018,0.296,0.0596162138057294,"Continuous"
"180","methyluridineribothymidine",0.343657174642908,0.325,0.289805332754586,"Continuous"
"181","oxoproline",0.478500781733245,0.299,0.109439659487231,"Continuous"
"182","hydroxyindolesulfate",-0.00747334181406428,0.23,0.974032115513135,"Continuous"
"183","oxopiperidine2carboxylate",0.299110991360269,0.299,0.317309413739895,"Continuous"
"184","alphahydroxy3oxo4cholestenoate7Hoca",0.233326837052569,0.325,0.472388942308301,"Continuous"
"185","methylguanine",0.946437524566018,0.27,0.000457282012167572,"Continuous"
"186","methylxanthine7",0.143809357300247,0.296,0.627043143805241,"Continuous"
"187","DiHOME910",-0.187495490840147,0.294,0.52378753804357,"Continuous"
"188","acetylcarnitineC2",-0.240366749848566,0.225,0.286155958048304,"Continuous"
"189","acisoga",-0.109866754233032,0.301,0.715000314728399,"Continuous"
"190","aconitate",0.274457095481722,0.255,0.282116159812164,"Continuous"
"191","adenine",0.263838769548236,0.265,0.319003180309825,"Continuous"
"192","adenosine",0.357483271904424,0.278,0.199073670789231,"Continuous"
"193","adipoylcarnitineC6DC",0.0025993489278263,0.256,0.991900579886882,"Continuous"
"194","ADpSGEGDFXAEGGGVR",-0.153678376388054,0.294,0.601338274143466,"Continuous"
"195","adrenate224n6",-0.281515783518707,0.277,0.309722721045531,"Continuous"
"196","alanine",0.63546070935395,0.262,0.0153273263321789,"Continuous"
"197","allantoin",0.304971539664166,0.359,0.395979676512065,"Continuous"
"198","alliin",0.487686675625943,0.287,0.0893494034132615,"Continuous"
"199","alphahydroxyisocaproate",0.367427932306567,0.372,0.323438743792539,"Continuous"
"200","alphahydroxyisovalerate",0.356891314538873,0.262,0.172976631304179,"Continuous"
"201","alphaketobutyrate",-0.176273791857216,0.328,0.591362218638658,"Continuous"
"202","alphaketoglutarate",0.163950667374831,0.308,0.594244324968335,"Continuous"
"203","alphatocopherol",-0.0728221097335423,0.305,0.811307443461978,"Continuous"
"204","adenosine5monophosphateAMP",-0.120852180057852,0.372,0.745097652782295,"Continuous"
"205","androsteroidmonosulfateC19H28O6S1",-0.0714533752334937,0.296,0.809282171611244,"Continuous"
"206","androstenediol3alpha17alphamonosulfate2",-0.0656321994868736,0.312,0.833359119609326,"Continuous"
"207","androstenediol3alpha17alphamonosulfate3",-0.162273560241733,0.472,0.730771143325777,"Continuous"
"208","androstenediol3beta17betadisulfate1",-0.454804505878524,0.349,0.192828218336553,"Continuous"
"209","androstenediol3beta17betadisulfate2",-0.13293169987884,0.363,0.714431986636607,"Continuous"
"210","androstenediol3beta17betamonosulfate1",-0.303372808230181,0.352,0.388976815439274,"Continuous"
"211","androstenediol3beta17betamonosulfate2",-0.525406383878987,0.305,0.0845175037127905,"Continuous"
"212","androsteronesulfate",0.270681794669118,0.379,0.475530934573555,"Continuous"
"213","arabinose",-0.24544632850812,0.313,0.432842971227032,"Continuous"
"214","arabitolxylitol",0.475610626684414,0.349,0.173434227942868,"Continuous"
"215","arabonatexylonate",-0.243772447230445,0.285,0.391959637658011,"Continuous"
"216","arachidate200",-0.324417123225572,0.271,0.230588265320069,"Continuous"
"217","arachidonate204n6",0.300784206411876,0.268,0.26165275401004,"Continuous"
"218","arachidonoylcholine",0.354837299446663,0.286,0.21504664382798,"Continuous"
"219","argininate",0.196208604093325,0.286,0.493126815207292,"Continuous"
"220","arginine",0.478032845633305,0.309,0.121306367158981,"Continuous"
"221","asparagine",-0.212969713827209,0.297,0.473852583171808,"Continuous"
"222","aspartate",-0.333611022889653,0.258,0.196329707605907,"Continuous"
"223","azelatenonanedioate",0.572693458319811,0.279,0.0403915914577168,"Continuous"
"224","behenoyldihydrosphingomyelind180220",-0.277438205465474,0.297,0.350915546694665,"Continuous"
"225","behenoylsphingomyelind181220",-0.262135789668228,0.335,0.43369316165366,"Continuous"
"226","benzoate",0.00311265974581075,0.25,0.990074535248403,"Continuous"
"227","betacitrylglutamate",-0.0498413840471005,0.245,0.838926134442423,"Continuous"
"228","betacryptoxanthin",0.211429586370032,0.297,0.476969422518642,"Continuous"
"229","betahydroxyisovalerate",0.315856899472617,0.366,0.387660973994049,"Continuous"
"230","betaine",0.0823926934105873,0.36,0.818926258437543,"Continuous"
"231","bilirubinZZ",0.15413700846852,0.333,0.643363174753421,"Continuous"
"232","bilirubinEE",-0.00321341642845872,0.24,0.989311491165985,"Continuous"
"233","bilirubinEZorZE",0.176916223125916,0.319,0.578997946666038,"Continuous"
"234","biliverdin",-0.131752927752205,0.282,0.640500380055574,"Continuous"
"235","butyrylcarnitineC4",0.122881878321417,0.241,0.610132877515321,"Continuous"
"236","caffeine",-0.123693301310254,0.29,0.669973496627561,"Continuous"
"237","caprate100",-0.0424634185322522,0.268,0.873902579768893,"Continuous"
"238","caproate60",0.00599218380411456,0.263,0.981814826977173,"Continuous"
"239","caprylate80",0.302886582694916,0.253,0.231694561033067,"Continuous"
"240","carboxyethylGABA",0.0448823110902237,0.342,0.895661710810504,"Continuous"
"241","carnitine",0.16782743173005,0.295,0.569508361804153,"Continuous"
"242","carotenediol1",0.232087555707938,0.363,0.522201037075308,"Continuous"
"243","carotenediol2",0.0389517795055759,0.377,0.917600220366872,"Continuous"
"244","catecholsulfate",0.328174799993892,0.289,0.255499479028771,"Continuous"
"245","ceramided182241d181242",0.607725835390993,0.265,0.0219099372214522,"Continuous"
"246","cerotoylcarnitineC26",-0.293171773011517,0.281,0.296043626363012,"Continuous"
"247","Cglycosyltryptophan",0.224319155999387,0.297,0.449549527098704,"Continuous"
"248","cholate",-0.201912623929797,0.312,0.517372580721433,"Continuous"
"249","cholesterol",-0.0403947971474969,0.302,0.893505894768332,"Continuous"
