"","metabolite","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","PLATFORM","MASS","HMDB","unique","beta_imp","se_imp","p_val_imp","p_val_fdr_imp","beta_comp","se_comp","p_val_comp","p_val_fdr_comp"
"1","thymolsulfate","thymol sulfate","Xenobiotics","Food Component/Plant","LC/MS Neg",229.054,"HMDB01878","Imputed only",1.154,0.298,"1.08e-04","3.46e-02",1.075,0.317,"7.02e-04","1.58e-01"
"2","Nacetylcarnosine","N-acetylcarnosine","Peptide","Dipeptide Derivative","LC/MS Pos Early",269.1244,"HMDB12881","Shared",1.684,0.392,"1.72e-05","1.10e-02",1.623,0.401,"5.14e-05","3.28e-02"
