"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"arachidonylglycerol204",0.0569970228611075,0.106,0.590678524608786,1,0.939475690581829,0,0.0271144530118412,"Not Sig","Not Sig","Complete-cases",0.950739489231773,"Not Sig"
"dihomolinolenylglycerol203",0.104559058684266,0.104,0.313894075546659,1,0.862876126326887,0,0.0640515467112923,"Not Sig","Not Sig","Complete-cases",0.877319296386457,"Not Sig"
"docosahexaenoylglycerol226",0.324547807880788,0.144,0.0239656669965193,1,0.595744951087917,0,0.224939629592415,"Not Sig","Not Sig","Complete-cases",0.579941589591002,"Not Sig"
"lignoceroylGPC240",-0.115876096283129,0.137,0.39692178589918,1,0.881331787848056,0,0.0548605654752539,"Not Sig","Not Sig","Complete-cases",0.904684198665343,"Not Sig"
"linolenoylglycerol183",0.144122795852017,0.124,0.246217581097019,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"linolenoylGPC183",0.062613483630202,0.086,0.465938724583141,1,0.900814867527406,0,0.045364454606597,"Not Sig","Not Sig","Complete-cases",0.926479162020988,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",-0.136782771382528,0.109,0.207789158665107,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"linoleoyl2linolenoylGPC182183",-0.0357250775107026,0.115,0.755984852082302,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"linoleoylglycerol1821",0.142246359313202,0.099,0.148781759098272,1,0.756972052648534,0,0.120920154323677,"Not Sig","Not Sig","Complete-cases",0.739749236478545,"Not Sig"
"linoleoylGPA182",-0.0370888890802446,0.101,0.713982132338737,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"linoleoylGPC182",-0.0619970699990754,0.104,0.549376928486129,1,0.916307715601168,0,0.0379586565225085,"Not Sig","Not Sig","Complete-cases",0.933622289379,"Not Sig"
"linoleoylGPE182",-0.0307897777373257,0.093,0.740230627008202,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"linoleoylGPG182",-0.0904381498470967,0.096,0.347678896953995,1,0.86932319379948,0,0.0608187331152429,"Not Sig","Not Sig","Complete-cases",0.883749321766532,"Not Sig"
"linoleoylGPI182",-0.112815421534803,0.098,0.249322486944083,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"N1methyladenosine",0.102588309698423,0.111,0.354141593412518,1,0.86932319379948,0,0.0608187331152429,"Not Sig","Not Sig","Complete-cases",0.883749321766532,"Not Sig"
"methylhistamine",-0.232318823503169,0.128,0.0696880229506972,1,0.632823561946231,0,0.198717359104677,"Not Sig","Not Sig","Complete-cases",0.624437470791256,"Not Sig"
"methylhistidine1",-0.00182536336064612,0.096,0.984763329897267,1,0.998811516890429,0,0.000516458618321379,"Not Sig","Not Sig","Complete-cases",0.999306475915928,"Not Sig"
"methylimidazoleacetate",-0.0463455660416696,0.112,0.678608388842954,1,0.975399907653454,0,0.01081728986153,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"methylnicotinamide",-0.112742588968081,0.1,0.261820610057095,1,0.803556983624308,0,0.0949833201500529,"Not Sig","Not Sig","Complete-cases",0.808228839741466,"Not Sig"
"methylxanthine1",-0.200123911501432,0.141,0.156618334052268,1,0.762492844027324,0,0.117764227802854,"Not Sig","Not Sig","Complete-cases",0.747874379429632,"Not Sig"
"myristoylglycerol140",0.239054280432304,0.113,0.0344117558817443,1,0.595744951087917,0,0.224939629592415,"Not Sig","Not Sig","Complete-cases",0.579941589591002,"Not Sig"
"oleoylglycerol181",0.241009706540501,0.104,0.0210149407728173,1,0.595744951087917,0,0.224939629592415,"Not Sig","Not Sig","Complete-cases",0.579941589591002,"Not Sig"
"oleoylGPC181",-0.109892824880156,0.094,0.24453163752738,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"oleoylGPE181",-0.0251826197861725,0.108,0.815945244457927,1,0.985266316688686,0,0.00644636418711718,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"oleoylGPI181",-0.164184577031681,0.097,0.089891642233016,1,0.658200713100419,0,0.181641651522944,"Not Sig","Not Sig","Complete-cases",0.632358315681082,"Not Sig"
"palmitoleoyl2linolenoylGPC161183",0.0336340096750872,0.106,0.750114341361223,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoleoylglycerol161",0.206320645517447,0.094,0.028625841482672,1,0.595744951087917,0,0.224939629592415,"Not Sig","Not Sig","Complete-cases",0.579941589591002,"Not Sig"
"palmitoleoylGPC161",-0.0326012023881428,0.09,0.717547875239758,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoyl2arachidonoylGPC160204n6",-0.0378498861083633,0.115,0.741177908177655,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoyl2arachidonoylGPE160204",0.113421813051322,0.107,0.289811047554625,1,0.838510387015558,0,0.0764915532181817,"Not Sig","Not Sig","Complete-cases",0.845613056563496,"Not Sig"
"palmitoyl2arachidonoylGPI160204",0.115580885164178,0.093,0.21168467525776,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"palmitoyl2linoleoylGPC160182",0.0579098779238388,0.108,0.590516973072007,1,0.939475690581829,0,0.0271144530118412,"Not Sig","Not Sig","Complete-cases",0.950739489231773,"Not Sig"
"palmitoyl2linoleoylGPE160182",0.161895203442577,0.101,0.10835116425241,1,0.711005085130775,0,0.148127293171306,"Not Sig","Not Sig","Complete-cases",0.672197999585337,"Not Sig"
"palmitoyl2linoleoylGPI160182",0.0668720509454479,0.098,0.494387809738778,1,0.910646795401209,0,0.0406500363665662,"Not Sig","Not Sig","Complete-cases",0.927900136779831,"Not Sig"
"palmitoyl2oleoylGPC160181",0.0290392149288435,0.108,0.788652502772589,1,0.977929103438011,0,0.00969262895648428,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoyl2oleoylGPE160181",0.140418042720368,0.112,0.208186758193951,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"palmitoyl2oleoylGPI160181",0.0251729819767781,0.1,0.801666502034935,1,0.981840708386888,0,0.00795896545138499,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoyl2palmitoleoylGPC160161",0.0438940430492619,0.095,0.64292402744902,1,0.961711648380481,0,0.0169551236890241,"Not Sig","Not Sig","Complete-cases",0.971225658486818,"Not Sig"
"palmitoyl2stearoylGPC160180",0.0763070217330894,0.124,0.536693418263409,1,0.910646795401209,0,0.0406500363665662,"Not Sig","Not Sig","Complete-cases",0.931662204508672,"Not Sig"
"palmitoylglycerol160",0.291339746361399,0.128,0.0227534809593125,1,0.595744951087917,0,0.224939629592415,"Not Sig","Not Sig","Complete-cases",0.579941589591002,"Not Sig"
"palmitoylGPA160",0.126179224360976,0.137,0.356641392999909,1,0.86932319379948,0,0.0608187331152429,"Not Sig","Not Sig","Complete-cases",0.883749321766532,"Not Sig"
"palmitoylGPC1601",-0.019922940302466,0.106,0.851206669517978,1,0.985266316688686,0,0.00644636418711718,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoylGPE160",0.185598676512616,0.108,0.0858133213084545,1,0.649656069610313,0,0.187316499666639,"Not Sig","Not Sig","Complete-cases",0.624437470791256,"Not Sig"
"palmitoylGPG160",0.0474781632528455,0.123,0.698482262266046,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"palmitoylGPI160",-0.106317888221664,0.092,0.249211111243771,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"pentadecanoylglycerol150",0.0866944784761177,0.135,0.522287693974969,1,0.910646795401209,0,0.0406500363665662,"Not Sig","Not Sig","Complete-cases",0.931469268479776,"Not Sig"
"stearoyl2arachidonoylGPC180204",-0.0332338933305143,0.122,0.78539375262307,1,0.977929103438011,0,0.00969262895648428,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"stearoyl2arachidonoylGPE180204",0.131008356886218,0.112,0.241749997462791,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"stearoyl2arachidonoylGPI180204",0.0110207064582228,0.109,0.919105771788823,1,0.99791798168859,0,0.000905151662346675,"Not Sig","Not Sig","Complete-cases",0.987073257433711,"Not Sig"
"stearoyl2linoleoylGPC180182",0.0550052817265015,0.113,0.627144957847125,1,0.956021434992802,0,0.0195323702817105,"Not Sig","Not Sig","Complete-cases",0.965345285931811,"Not Sig"
"stearoyl2linoleoylGPE180182",0.167737409451168,0.108,0.121303118634769,1,0.732726105927843,0,0.135058334926897,"Not Sig","Not Sig","Complete-cases",0.694418956897133,"Not Sig"
"stearoyl2linoleoylGPI180182",0.0167311350246104,0.104,0.87254527010275,1,0.985649701378241,0,0.00627740533174851,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"stearoyl2oleoylGPC180181",0.0846962748933034,0.121,0.48417920917097,1,0.910646795401209,0,0.0406500363665662,"Not Sig","Not Sig","Complete-cases",0.927900136779831,"Not Sig"
"stearoyl2oleoylGPE180181",0.157029902512147,0.122,0.197877729912656,1,0.797169602770606,0,0.098449269932264,"Not Sig","Not Sig","Complete-cases",0.791860242494033,"Not Sig"
"stearoyl2oleoylGPI180181",0.065393500596803,0.115,0.569493781622587,1,0.928502035173966,0,0.0322171399975941,"Not Sig","Not Sig","Complete-cases",0.942096466655457,"Not Sig"
"stearoyl2oleoylGPS180181",-0.244197533554572,0.15,0.102787207346212,1,0.711005085130775,0,0.148127293171306,"Not Sig","Not Sig","Complete-cases",0.672197999585337,"Not Sig"
"stearoylGPC180",-0.00772699527653694,0.103,0.940048791088073,1,0.998811516890429,0,0.000516458618321379,"Not Sig","Not Sig","Complete-cases",0.991424668086023,"Not Sig"
