"","metabolite","beta","se","p_val","metabolite_model"
"71","palmitoyl2palmitoleoylGPC160161",-0.198883325884952,0.222,0.370468586125955,"Continuous"
"72","palmitoyl2stearoylGPC160180",0.0228149688030712,0.221,0.917866664541324,"Continuous"
"73","palmitoylglycerol160",-0.207568037589042,0.2,0.298345500481381,"Continuous"
"74","palmitoylGPA160",0.247138338054356,0.213,0.245012639389427,"Continuous"
"75","palmitoylGPC1601",-0.194451650405197,0.246,0.428653397515906,"Continuous"
"76","palmitoylGPE160",-0.224963021865672,0.235,0.339165813416813,"Continuous"
"77","palmitoylGPG160",-0.3960628797633,0.196,0.0436403696570645,"Continuous"
"78","palmitoylGPI160",-0.407791477075714,0.197,0.0382040003988307,"Continuous"
"79","pentadecanoylglycerol150",-0.264355226096434,0.184,0.149883247508306,"Continuous"
"80","stearoyl2arachidonoylGPC180204",-0.0745426815937079,0.208,0.719907453524059,"Continuous"
"81","stearoyl2arachidonoylGPE180204",-0.101615805318153,0.203,0.617142980202589,"Continuous"
"82","stearoyl2arachidonoylGPI180204",0.162580401291148,0.186,0.382883904948259,"Continuous"
"83","stearoyl2linoleoylGPC180182",0.177063072546729,0.2,0.375771551967505,"Continuous"
"84","stearoyl2linoleoylGPE180182",0.117040272450444,0.2,0.558126838993426,"Continuous"
"85","stearoyl2linoleoylGPI180182",0.161963005964249,0.19,0.39409160389076,"Continuous"
"86","stearoyl2oleoylGPC180181",0.028309757011009,0.214,0.894550134347234,"Continuous"
"87","stearoyl2oleoylGPE180181",0.0242001682056645,0.212,0.908924551827503,"Continuous"
"88","stearoyl2oleoylGPI180181",0.110410137519095,0.209,0.59706049427584,"Continuous"
"89","stearoyl2oleoylGPS180181",-0.00154424045998513,0.199,0.993806455668999,"Continuous"
"90","stearoylGPC180",-0.164590575993214,0.221,0.457337403264211,"Continuous"
"91","stearoylGPE1801",-0.247556337998888,0.238,0.297849815967936,"Continuous"
"92","stearoylGPI180",-0.323882062818837,0.185,0.0802231060866654,"Continuous"
"93","dihydroxy2methylbutyrate",0.022270813032104,0.219,0.918985118415169,"Continuous"
"94","dihydroxyisovalerate",0.0660578180914546,0.25,0.791579411709237,"Continuous"
"95","hydroxypregnenolonedisulfate",0.445909083304535,0.206,0.0303342798669042,"Continuous"
"96","aminoadipate",0.144518983505621,0.204,0.478286210559516,"Continuous"
"97","aminobutyrate",0.161645443257362,0.226,0.47373614212618,"Continuous"
"98","aminoheptanoate",0.366045406064373,0.223,0.100082862675354,"Continuous"
"99","aminooctanoate",0.44403495277026,0.23,0.053874788166671,"Continuous"
"100","aminophenolsulfate",0.139889212041838,0.172,0.415263113030493,"Continuous"
"101","deoxyuridine",0.0289954513324033,0.219,0.894591072500588,"Continuous"
"102","hydroxy3methylvalerate",-0.050852115972448,0.216,0.813718361266169,"Continuous"
"103","hydroxybutyrate2hydroxyisobutyrate",-0.114603140726165,0.198,0.561841033508399,"Continuous"
"104","hydroxydecanoate2",-0.18885232139665,0.184,0.304924640788761,"Continuous"
"105","hydroxyglutarate",0.0596261862020865,0.188,0.750929149158369,"Continuous"
"106","hydroxyhippuratesalicylurate",-0.163709981279787,0.192,0.394014338278379,"Continuous"
"107","hydroxyoctanoate2",0.205433679859807,0.206,0.318393641774267,"Continuous"
"108","hydroxypalmitate2",-0.394773326544754,0.199,0.0475871985351772,"Continuous"
"109","hydroxyphenylacetate2",0.323299201629679,0.211,0.126023418424441,"Continuous"
"110","hydroxystearate",-0.199843698565278,0.202,0.32244153691679,"Continuous"
"111","keto3deoxygluconate",-0.0353739991765042,0.198,0.858370914824621,"Continuous"
"112","linoleoylglycerol1822",-0.0355386588435395,0.193,0.853574995638098,"Continuous"
"113","methylbutyrylcarnitineC5",0.0617319818455574,0.219,0.777800748975829,"Continuous"
"114","methylcitratehomocitrate",-0.0564305930899772,0.238,0.812262552024173,"Continuous"
"115","Omethylcytidine",0.314148431179718,0.19,0.0976824913440299,"Continuous"
"116","Omethyluridine",-0.288057355509013,0.191,0.131862976890745,"Continuous"
"117","oxindole3acetate",-0.0440356086699804,0.232,0.84953985108124,"Continuous"
"118","oxoarginine",0.064555026578294,0.192,0.736308235339691,"Continuous"
"119","palmitoylGPC1602",-0.350819843157617,0.195,0.0726524360337322,"Continuous"
"120","piperidinone",-0.0654235830403407,0.224,0.76974325254241,"Continuous"
"121","pyrrolidinone",0.75171528103671,0.226,0.000877029341320063,"Continuous"
"122","stearoylGPE1802",-0.349171133970473,0.211,0.0987189130853871,"Continuous"
"123","hydroxyphenyllactate",0.137486846484623,0.249,0.580383980705901,"Continuous"
"124","aminoisobutyrate",0.126723047980224,0.217,0.559627512384751,"Continuous"
