"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.106400175668964,0.263,0.685370089153754,1,0.934172419254176,0,0.0295729590804986,"Not Sig","Not Sig","Imputed",0.947946941491881,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.247570451567815,0.296,0.403550653412264,1,0.874736120695021,0,0.0581229396748758,"Not Sig","Not Sig","Imputed",0.885721153173972,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.0245576909596795,0.271,0.927828209196446,1,0.995418193532033,0,0.0019944257997911,"Not Sig","Not Sig","Imputed",0.995869424140613,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.0523533720685054,0.285,0.854432359477192,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.22085408985778,0.299,0.459517652977191,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0321143429439897,0.36,0.928970556415217,1,0.995418193532033,0,0.0019944257997911,"Not Sig","Not Sig","Imputed",0.995869424140613,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.275066755511049,0.292,0.346663413170873,1,0.853391780974182,0,0.0688515441515934,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.0742456329570602,0.353,0.833392124479185,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.044985422208522,0.344,0.895890872573886,1,0.990486023521031,0,0.00415164829354916,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"enylpalmitoylGPCP160",0.196034269593056,0.304,0.518749457159004,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"enylpalmitoylGPEP160",0.0876507950473785,0.268,0.743751516140458,1,0.95998605787476,0,0.0177350742854592,"Not Sig","Not Sig","Imputed",0.982018741340129,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.078807703783635,0.276,0.775279637512628,1,0.978474093928455,0,0.00945066823066814,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.336122857779589,0.304,0.268800483190458,1,0.831380195726032,0,0.0802003250178508,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.334701026602829,0.264,0.204176389990052,1,0.801772364850117,0,0.0959489169055702,"Not Sig","Not Sig","Imputed",0.872879897319842,"Not Sig"
"enylstearoylGPEP180",0.0466539968050314,0.243,0.847868138049262,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"dilinoleoylGPC182182",-0.136095864168762,0.26,0.600037790033722,1,0.914987369178541,0,0.0385849010525934,"Not Sig","Not Sig","Imputed",0.922469073377464,"Not Sig"
"dipalmitoylGPC160160",-0.225182897905206,0.316,0.476364603036226,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"dimethylurate13",-0.047389700776875,0.268,0.859640623404499,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"anhydroglucitol15AG",0.490285175840186,0.353,0.164928641898133,1,0.777703822224619,0,0.109185766588168,"Not Sig","Not Sig","Imputed",0.852825797155323,"Not Sig"
"dimethylurate17",-0.0790700110270128,0.29,0.785411863301799,1,0.978474093928455,0,0.00945066823066814,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"heptadecenoate171n7",-0.186326579272743,0.321,0.562147308860971,1,0.91308439839845,0,0.039489077816542,"Not Sig","Not Sig","Imputed",0.922469073377464,"Not Sig"
"nonadecenoate191n9",-0.282561647087293,0.307,0.35794811089543,1,0.857052535717837,0,0.0669925558211926,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"undecenoate111n1",-0.332548608470705,0.26,0.201388519155368,1,0.797569509782713,0,0.0982314569860509,"Not Sig","Not Sig","Imputed",0.872879897319842,"Not Sig"
"DiHOME1213",0.0219732420579854,0.277,0.93674435827912,1,0.995418193532033,0,0.0019944257997911,"Not Sig","Not Sig","Imputed",0.995869424140613,"Not Sig"
"HETE",0.151845980764242,0.279,0.586207461931071,1,0.914987369178541,0,0.0385849010525934,"Not Sig","Not Sig","Imputed",0.922469073377464,"Not Sig"
"HODE9HODE",-0.103774683078143,0.273,0.704042059599649,1,0.948926254243005,0,0.0227675374355074,"Not Sig","Not Sig","Imputed",0.967490056095002,"Not Sig"
"ahydroxyDHEA3sulfate",-0.118226424696805,0.256,0.644256957386003,1,0.914987369178541,0,0.0385849010525934,"Not Sig","Not Sig","Imputed",0.923049766299677,"Not Sig"
"hydroxypalmitate16",-0.677435819136713,0.316,0.0318492135038018,1,0.530230424813293,0,0.275535355913703,"Not Sig","Not Sig","Imputed",0.508791185723233,"Not Sig"
"methylstearate",-0.221040916385468,0.316,0.484886706028397,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"arachidonoylGPA204",-0.239456382389524,0.248,0.33470541745089,1,0.853391780974182,0,0.0688515441515934,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"arachidonoylGPC204n6",0.0179618479212215,0.301,0.952362665608085,1,0.995418193532033,0,0.0019944257997911,"Not Sig","Not Sig","Imputed",0.995869424140613,"Not Sig"
"arachidonoylGPE204n6",-0.203227249741646,0.297,0.493316040632748,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"arachidonoylGPI204",0.280885967980792,0.274,0.305725112374193,1,0.850130597764675,0,0.0705143524835897,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"arachidonylglycerol204",-0.0143534752524521,0.257,0.955408920833263,1,0.995418193532033,0,0.0019944257997911,"Not Sig","Not Sig","Imputed",0.995869424140613,"Not Sig"
"dihomolinolenylglycerol203",0.208830551408705,0.319,0.512498419304009,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"docosahexaenoylglycerol226",0.316335831482491,0.263,0.228983918739014,1,0.803809503396197,0,0.0948468634735068,"Not Sig","Not Sig","Imputed",0.872879897319842,"Not Sig"
"lignoceroylGPC240",0.275071678136401,0.298,0.355497295472658,1,0.856525422638811,0,0.0672597421580201,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"linolenoylglycerol183",0.359786170918005,0.31,0.245693574387722,1,0.803809503396197,0,0.0948468634735068,"Not Sig","Not Sig","Imputed",0.872879897319842,"Not Sig"
"linolenoylGPC183",-0.00956517443143287,0.329,0.976781795252674,1,0.995418193532033,0,0.0019944257997911,"Not Sig","Not Sig","Imputed",0.995869424140613,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",0.0584213842638374,0.292,0.841520142652952,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"linoleoyl2linolenoylGPC182183",0.0544374263059813,0.294,0.853013867663995,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"linoleoylglycerol1821",0.398177989647876,0.262,0.129001489841531,1,0.715341075035541,0,0.145486836958758,"Not Sig","Not Sig","Imputed",0.78187273440591,"Not Sig"
"linoleoylGPA182",0.296935785647466,0.253,0.240872471713918,1,0.803809503396197,0,0.0948468634735068,"Not Sig","Not Sig","Imputed",0.872879897319842,"Not Sig"
"linoleoylGPC182",-0.244380224884,0.294,0.405419571935155,1,0.874736120695021,0,0.0581229396748758,"Not Sig","Not Sig","Imputed",0.885721153173972,"Not Sig"
"linoleoylGPE182",-0.308237696244793,0.299,0.302402447525699,1,0.850130597764675,0,0.0705143524835897,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
"linoleoylGPG182",-0.0401649288950902,0.256,0.875289063141406,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"linoleoylGPI182",0.123471930434002,0.286,0.665501947685359,1,0.927988134323493,0,0.0324575768315434,"Not Sig","Not Sig","Imputed",0.936367204725116,"Not Sig"
"N1methyladenosine",0.412532460643293,0.345,0.231861179105095,1,0.803809503396197,0,0.0948468634735068,"Not Sig","Not Sig","Imputed",0.872879897319842,"Not Sig"
"methylhistamine",-0.251740958189145,0.326,0.439502481506739,1,0.898654291045454,0,0.0464073476067629,"Not Sig","Not Sig","Imputed",0.912008826629939,"Not Sig"
"methylhistidine1",0.436771600649128,0.295,0.139244525272143,1,0.734436974944502,0,0.134045466869257,"Not Sig","Not Sig","Imputed",0.804208818759691,"Not Sig"
"methylimidazoleacetate",0.0705251255878282,0.33,0.830932311059053,1,0.989846969031807,0,0.00443194241477324,"Not Sig","Not Sig","Imputed",0.995607421869066,"Not Sig"
"methylnicotinamide",0.243549531871482,0.274,0.374602175286271,1,0.864777561793749,0,0.0630955874585163,"Not Sig","Not Sig","Imputed",0.882480280070813,"Not Sig"
"methylxanthine1",0.00138668849017567,0.273,0.9959518540473,1,0.9959518540473,0,0.0017616555792891,"Not Sig","Not Sig","Imputed",0.9959518540473,"Not Sig"
"myristoylglycerol140",0.491509190710856,0.363,0.176094688091271,1,0.795523239166096,0,0.0993471290353975,"Not Sig","Not Sig","Imputed",0.865573120694788,"Not Sig"
"oleoylglycerol181",0.166099519608055,0.321,0.604476720950935,1,0.914987369178541,0,0.0385849010525934,"Not Sig","Not Sig","Imputed",0.922469073377464,"Not Sig"
"oleoylGPC181",-0.250200514570238,0.281,0.373540553847464,1,0.864777561793749,0,0.0630955874585163,"Not Sig","Not Sig","Imputed",0.882480280070813,"Not Sig"
"oleoylGPE181",-0.348562775108065,0.32,0.275668462737957,1,0.831630697991353,0,0.0800694879286091,"Not Sig","Not Sig","Imputed",0.880241839672469,"Not Sig"
