"","metabolite","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","PLATFORM","MASS","HMDB","unique","beta_imp","se_imp","p_val_imp","p_val_fdr_imp","beta_comp","se_comp","p_val_comp","p_val_fdr_comp"
"1","glycolithocholatesulfate","glycolithocholate sulfate*","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",255.6307,"HMDB02639","Imputed only",0.392,0.106,"2.25e-04","4.78e-02",0.389,0.12,"1.16e-03","8.00e-02"
"2","aminooctanoate","2-aminooctanoate","Lipid","Fatty Acid, Amino","LC/MS Pos Late",160.1332,"HMDB00991","Complete-case only",-0.238,0.088,"7.01e-03","1.70e-01",-0.402,0.104,"1.10e-04","1.41e-02"
"3","glycodeoxycholatesulfate","glycodeoxycholate sulfate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",263.6282,"#N/A","Complete-case only",0.319,0.093,"5.79e-04","5.21e-02",0.49,0.126,"1.05e-04","1.41e-02"
"4","hydroxyoctanoate2","2-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy","LC/MS Neg",159.1027,"HMDB02264","Complete-case only",-0.318,0.098,"1.13e-03","6.37e-02",-0.344,0.085,"4.81e-05","1.41e-02"
"5","hydroxypyridinesulfate","3-hydroxypyridine sulfate","Xenobiotics","Chemical","LC/MS Neg",173.9867,"#N/A","Complete-case only",0.373,0.112,"8.61e-04","6.17e-02",0.435,0.123,"4.10e-04","3.27e-02"
"6","palmitoyl2arachidonoylGPE160204","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","Lipid","Phosphatidylethanolamine (PE)","LC/MS Pos Late",740.5225,"HMDB05323","Complete-case only",0.39,0.11,"4.05e-04","5.21e-02",0.39,0.11,"4.06e-04","3.27e-02"
"7","taurolithocholate3sulfate","taurolithocholate 3-sulfate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",280.6221,"HMDB02580","Complete-case only",0.321,0.109,"3.33e-03","1.14e-01",0.48,0.122,"8.09e-05","1.41e-02"
"8","arachidonoylGPE204n6","1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysophospholipid","LC/MS Pos Late",502.2928,"HMDB11517","Shared",0.418,0.102,"4.21e-05","2.69e-02",0.418,0.102,"4.26e-05","1.41e-02"
"9","palmitoleoylGPC161","1-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid","LC/MS Pos Late",494.3241,"HMDB10383","Shared",0.421,0.112,"1.65e-04","4.78e-02",0.421,0.112,"1.66e-04","1.77e-02"
